BIOMASS	Biomass	BIOMASS			0	seed:cpd11416
MNXM01	H(+)	M_h_c;M_h_e;M_h_f;M_h_g;M_h_h;M_h_im;M_h_l;M_h_m;M_h_n;M_h_p;M_h_r;M_h_s;M_h_u;M_h_v;M_h_x	H	1.00794	1	
MNXM1	H(+)	M_h_c;M_h_e;M_h_p	H	1.00739	1	chebi:10744;chebi:13357;chebi:15378;chebi:24636;chebi:29233;chebi:29234;chebi:5584;bigg:h;deprecated:MNXM104313;deprecated:MNXM113751;deprecated:MNXM145872;deprecated:MNXM89553;hmdb:HMDB59597;kegg:C00080;metacyc:PROTON;reactome:1132304;reactome:113529;reactome:1470067;reactome:156540;reactome:163953;reactome:193465;reactome:194688;reactome:2000349;reactome:2872447;reactome:351626;reactome:372511;reactome:374900;reactome:425969;reactome:425978;reactome:425999;reactome:427899;reactome:428040;reactome:428548;reactome:5668577;reactome:70106;reactome:74722;sabiork:39;seed:cpd00067
MNXM10	NADH	M_nadh_c	C21H27N7O14P2	663.4262	-2	chebi:13395;chebi:13396;chebi:16908;chebi:21902;chebi:44216;chebi:57945;chebi:7423;bigg:nadh;deprecated:MNXM89564;hmdb:HMDB01487;kegg:C00004;metacyc:NADH;reactome:192305;reactome:194697;reactome:29362;reactome:73473;sabiork:38;seed:cpd00004
MNXM100	(2E)-geranyl diphosphate	M_grdp_c	C10H17O7P2	311.1869	-3	chebi:14299;chebi:17211;chebi:24223;chebi:42877;chebi:5332;chebi:58057;bigg:grdp;deprecated:MNXM89875;deprecated:MNXM89953;deprecated:MNXM92598;kegg:C00341;lipidmaps:LMPR0102010001;metacyc:GERANYL-PP;reactome:191409;sabiork:5050;seed:cpd00283;seed:cpd03476
MNXM10019	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	M_3hoctACP_c	C19H35N2O9PRS		-1	bigg:3hoctACP;deprecated:MNXM3746;deprecated:MNXM90764;kegg:C04620;metacyc:3-Hydroxy-octanoyl-ACPs;seed:cpd11483
MNXM10038	3-hydroxypimeloyl-ACP-methyl-esters	M_hpmeACP_c				bigg:hpmeACP;deprecated:MNXM97396;kegg:C20377;metacyc:3-hydroxypimeloyl-ACP-methyl-esters;seed:cpd22065
MNXM1004	sucrose 6(F)-phosphate	M_suc6p_c	C12H21O14P	420.2616	-2	chebi:131603;chebi:15129;chebi:15130;chebi:16308;chebi:26813;chebi:57723;chebi:91002;chebi:9315;bigg:suc6p;deprecated:MNXM5302;deprecated:MNXM90687;kegg:C02591;kegg:C16688;kegg:G10508;metacyc:CPD-15716;metacyc:SUCROSE-6P;sabiork:1373;seed:cpd01693;seed:cpd19187
MNXM1017	butanal	M_btal_c	C4H8O	72.1057	0	chebi:13923;chebi:15743;chebi:22938;chebi:3233;bigg:btal;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/242f8a4e-2a91-4c5f-a129-d044d115b969;hmdb:HMDB03543;kegg:C01412;metacyc:BUTANAL;sabiork:2281;seed:cpd01011
MNXM1020	dethiobiotin	M_dtbt_c	C10H17N2O3	213.2541	-1	chebi:14132;chebi:16691;chebi:23649;chebi:36990;chebi:42279;chebi:42280;chebi:4457;chebi:57861;bigg:dtbt;hmdb:HMDB03581;kegg:C01909;metacyc:DETHIOBIOTIN;sabiork:5879;seed:cpd01311
MNXM1026	molybdate	M_mobd_c;M_mobd_e;M_mobd_p	MoO4	159.94	-2	chebi:25368;chebi:25371;chebi:36263;chebi:36264;chebi:6967;bigg:mobd;deprecated:MNXM130748;deprecated:MNXM90270;hmdb:HMDB12260;kegg:C06232;kegg:C15455;metacyc:CPD-3;reactome:947561;sabiork:8470;seed:cpd11574
MNXM1029	(R)-1-aminopropan-2-ol	M_appl_c	C3H10NO	76.1171	1	chebi:10963;chebi:15675;chebi:18642;chebi:19030;chebi:303;chebi:42677;chebi:610;bigg:appl;deprecated:MNXM18844;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/d0a37a0c-a6b5-45b9-b8cd-3d633776e4a3;hmdb:HMDB12136;kegg:C03194;kegg:C05771;metacyc:1-AMINO-PROPAN-2-OL;seed:cpd02039;seed:cpd19039
MNXM1045	D-mannonate	M_mana_c	C6H11O7	195.1479	-1	chebi:12998;chebi:17767;chebi:21052;chebi:21053;chebi:33076;chebi:4206;chebi:49545;chebi:58654;bigg:mana;kegg:C00514;metacyc:D-MANNONATE;seed:cpd00403
MNXM1051	S-(hydroxymethyl)glutathione	M_hmgth_c	C11H18N3O7S	336.342	-1	chebi:22052;chebi:34963;chebi:40619;chebi:48926;chebi:58758;bigg:hmgth;deprecated:MNXM114366;deprecated:MNXM81305;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/fee99d5c-735f-4808-89ec-dbadb58f766c;hmdb:HMDB04662;kegg:C14180;metacyc:S-HYDROXYMETHYLGLUTATHIONE;reactome:5692221;sabiork:20730;seed:cpd09879;seed:cpd15487
MNXM105630	sulfite	M_so3_c;M_so3_e;M_so3_p	O3S	80.064	-2	chebi:13367;chebi:15139;chebi:17137;chebi:17359;chebi:26837;chebi:29214;chebi:33543;chebi:45548;chebi:48854;chebi:5598;chebi:9344;bigg:so3;deprecated:MNXM109100;deprecated:MNXM81;deprecated:MNXM83053;deprecated:MNXM89975;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/2bf998e0-031f-4353-bbd0-d9c0af36460e;envipath:4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/0382072e-fc0c-41a7-be8d-fce140ecf836;hmdb:HMDB00240;hmdb:HMDB01033;hmdb:HMDB03008;hmdb:HMDB34829;kegg:C00094;kegg:C11481;metacyc:H2SO3;metacyc:HSO3;metacyc:SO3;sabiork:3059;seed:cpd00081
